show_date, show_city, show_venue, song_num, song
2023-03-08,"Paris","Salle Pleyel",1,"Our Frank"
2023-03-08,"Paris","Salle Pleyel",2,"Alma Matters"
2023-03-08,"Paris","Salle Pleyel",3,"I Wish You Lonely"
2023-03-08,"Paris","Salle Pleyel",4,"Stop Me If You Think You’ve Heard This One Before"
2023-03-08,"Paris","Salle Pleyel",5,"Rebels Without Applause"
2023-03-08,"Paris","Salle Pleyel",6,"Jim Jim Falls"
2023-03-08,"Paris","Salle Pleyel",7,"Sure Enough, The Telephone Rings"
2023-03-08,"Paris","Salle Pleyel",8,"Everyday Is Like Sunday"
2023-03-08,"Paris","Salle Pleyel",9,"Knockabout World"
2023-03-08,"Paris","Salle Pleyel",10,"The Loop"
2023-03-08,"Paris","Salle Pleyel",11,"I Am Veronica"
2023-03-08,"Paris","Salle Pleyel",12,"Without Music The World Dies (live debut)"
2023-03-08,"Paris","Salle Pleyel",13,"Let Me Kiss You"
2023-03-08,"Paris","Salle Pleyel",14,"The Bullfighter Dies"
2023-03-08,"Paris","Salle Pleyel",15,"The Night Pop Dropped (live debut)"
2023-03-08,"Paris","Salle Pleyel",16,"Istanbul"
2023-03-08,"Paris","Salle Pleyel",17,"Trouble Loves Me"
2023-03-08,"Paris","Salle Pleyel",18,"Half A Person"
2023-03-08,"Paris","Salle Pleyel",19,"Please, Please, Please, Let Me Get What I Want"
2023-03-08,"Paris","Salle Pleyel",20,"Jack The Ripper"
2023-03-08,"Paris","Salle Pleyel",21,"Irish Blood, English Heart"
2023-03-09,"Paris","Salle Pleyel",1,"Our Frank"
2023-03-09,"Paris","Salle Pleyel",2,"I Wish You Lonely"
2023-03-09,"Paris","Salle Pleyel",3,"Stop Me If You Think You’ve Heard This One Before"
2023-03-09,"Paris","Salle Pleyel",4,"Jim Jim Falls"
2023-03-09,"Paris","Salle Pleyel",5,"Rebels Without Applause"
2023-03-09,"Paris","Salle Pleyel",6,"Sure Enough, The Telephone Rings"
2023-03-09,"Paris","Salle Pleyel",7,"Girlfriend In A Coma"
2023-03-09,"Paris","Salle Pleyel",8,"Irish Blood, English Heart"
2023-03-09,"Paris","Salle Pleyel",9,"Knockabout World"
2023-03-09,"Paris","Salle Pleyel",10,"The Loop"
2023-03-09,"Paris","Salle Pleyel",11,"The Bullfighter Dies"
2023-03-09,"Paris","Salle Pleyel",12,"Without Music The World Dies"
2023-03-09,"Paris","Salle Pleyel",13,"Every Day Is Like Sunday"
2023-03-09,"Paris","Salle Pleyel",14,"Istanbul"
2023-03-09,"Paris","Salle Pleyel",15,"The Night Pop Dropped"
2023-03-09,"Paris","Salle Pleyel",16,"Half A Person"
2023-03-09,"Paris","Salle Pleyel",17,"Please Please Please, Let Me Get What I Want"
2023-03-09,"Paris","Salle Pleyel",18,"Trouble Loves Me"
2023-03-09,"Paris","Salle Pleyel",19,"Jack The Ripper"
2023-03-09,"Paris","Salle Pleyel",20,"Sweet & Tender Hooligan"
2023-03-12,"Lyon","Amphithéâtre 3000",1,"Our Frank"
2023-03-12,"Lyon","Amphithéâtre 3000",2,"I Wish You Lonely"
2023-03-12,"Lyon","Amphithéâtre 3000",3,"Stop Me If You Think You've Heard This One Before"
2023-03-12,"Lyon","Amphithéâtre 3000",4,"Irish Blood, English Heart"
2023-03-12,"Lyon","Amphithéâtre 3000",5,"Jim Jim Falls"
2023-03-12,"Lyon","Amphithéâtre 3000",6,"Sure Enough, The Telephone Rings"
2023-03-12,"Lyon","Amphithéâtre 3000",7,"Girlfriend In A Coma"
2023-03-12,"Lyon","Amphithéâtre 3000",8,"Everyday Is Like Sunday"
2023-03-12,"Lyon","Amphithéâtre 3000",9,"Without Music The World Dies"
2023-03-12,"Lyon","Amphithéâtre 3000",10,"The Bullfighter Dies"
2023-03-12,"Lyon","Amphithéâtre 3000",11,"The Loop"
2023-03-12,"Lyon","Amphithéâtre 3000",12,"The Night Pop Dropped"
2023-03-12,"Lyon","Amphithéâtre 3000",13,"Istanbul"
2023-03-12,"Lyon","Amphithéâtre 3000",14,"Half A Person"
2023-03-12,"Lyon","Amphithéâtre 3000",15,"Please, Please, Please, Let Me Get What I Want"
2023-03-12,"Lyon","Amphithéâtre 3000",16,"Knockabout World"
2023-03-12,"Lyon","Amphithéâtre 3000",17,"Trouble Loves Me"
2023-03-12,"Lyon","Amphithéâtre 3000",18,"Suedehead"
2023-03-12,"Lyon","Amphithéâtre 3000",19,"Jack The Ripper"
2023-03-12,"Lyon","Amphithéâtre 3000",20,"Sweet And Tender Hooligan"
2023-03-13,"Strasbourg","Salle Erasme",1,"Alma Matters"
2023-03-13,"Strasbourg","Salle Erasme",2,"I Wish You Lonely"
2023-03-13,"Strasbourg","Salle Erasme",3,"Stop Me If You Think You’e Heard This One Before"
2023-03-13,"Strasbourg","Salle Erasme",4,"Irish Blood, English Heart"
2023-03-13,"Strasbourg","Salle Erasme",5,"I'm Throwing My Arms Around Paris"
2023-03-13,"Strasbourg","Salle Erasme",6,"Jim Jim Falls"
2023-03-13,"Strasbourg","Salle Erasme",7,"Sure Enough, The Telephone Rings"
2023-03-13,"Strasbourg","Salle Erasme",8,"Let Me Kiss You"
2023-03-13,"Strasbourg","Salle Erasme",9,"Girlfriend In A Coma"
2023-03-13,"Strasbourg","Salle Erasme",10,"The Night Pop Dropped"
2023-03-13,"Strasbourg","Salle Erasme",11,"Everyday Is Like Sunday"
2023-03-13,"Strasbourg","Salle Erasme",12,"The Bullfighter Dies"
2023-03-13,"Strasbourg","Salle Erasme",13,"Istanbul"
2023-03-13,"Strasbourg","Salle Erasme",14,"The Loop"
2023-03-13,"Strasbourg","Salle Erasme",15,"Knockabout World"
2023-03-13,"Strasbourg","Salle Erasme",16,"Without Music The World Dies"
2023-03-13,"Strasbourg","Salle Erasme",17,"Please. Please, Please, Let Me Get What I Want"
2023-03-13,"Strasbourg","Salle Erasme",18,"Half A Person"
2023-03-13,"Strasbourg","Salle Erasme",19,"Jack The Ripper"
2023-03-13,"Strasbourg","Salle Erasme",20,"Suedehead"
2023-03-15,"Antwerp","Stadsschouwburg Theatre",1,"Alma Matters"
2023-03-15,"Antwerp","Stadsschouwburg Theatre",2,"I Wish You Lonely"
2023-03-15,"Antwerp","Stadsschouwburg Theatre",3,"Stop Me If You Think You’ve Heard This One Before"
2023-03-15,"Antwerp","Stadsschouwburg Theatre",4,"Irish Blood, English Heart"
2023-03-15,"Antwerp","Stadsschouwburg Theatre",5,"I’m Throwing My Arms Around Paris"
2023-03-15,"Antwerp","Stadsschouwburg Theatre",6,"Jim Jim Falls"
2023-03-15,"Antwerp","Stadsschouwburg Theatre",7,"Sure Enough, The Telephone Rings"
2023-03-15,"Antwerp","Stadsschouwburg Theatre",8,"Let Me Kiss You"
2023-03-15,"Antwerp","Stadsschouwburg Theatre",9,"Girlfriend In A Coma"
2023-03-15,"Antwerp","Stadsschouwburg Theatre",10,"The Night Pop Dropped"
2023-03-15,"Antwerp","Stadsschouwburg Theatre",11,"Everyday Is Like Sunday"
2023-03-15,"Antwerp","Stadsschouwburg Theatre",12,"The Bullfighter Dies"
2023-03-15,"Antwerp","Stadsschouwburg Theatre",13,"Istanbul"
2023-03-15,"Antwerp","Stadsschouwburg Theatre",14,"The Loop"
2023-03-15,"Antwerp","Stadsschouwburg Theatre",15,"Knockabout World"
2023-03-15,"Antwerp","Stadsschouwburg Theatre",16,"Without Music The World Dies"
2023-03-15,"Antwerp","Stadsschouwburg Theatre",17,"Please, Please, Please, Let Me Get What I Want"
2023-03-15,"Antwerp","Stadsschouwburg Theatre",18,"Half A Person"
2023-03-15,"Antwerp","Stadsschouwburg Theatre",19,"Jack The Ripper"
2023-03-15,"Antwerp","Stadsschouwburg Theatre",20,"Sweet And Tender Hooligan"
2023-03-16,"Brussels","Bozar Theatre",1,"We Hate It When Our Friends Become Successful"
2023-03-16,"Brussels","Bozar Theatre",2,"Our Frank"
